Alert, AlertCommand
Edit Feature , FusionCombineEditCommand
Split Body, FusionSplitBodyCommand
Edit Feature , FusionDcSplitBodyEditCommand
Edit Feature , FusionDcPartingLineSplitEditCommand
Edit Feature , FusionDcSplitFaceEditCommand
Split Face, FusionSplitFaceCommand
Silhouette Split, FusionPartingLineSplitCmd
Extrude, Extrude
Edit Feature , FusionExtrudeEditCommand
Revolve, Revolve
Texture Map Controls, TextureMappingCommand
Edit Feature , FusionRevolveEditCommand
Edit Feature , FusionSurfaceRevolveEditCommand
Sweep, Sweep
Edit Feature , FusionSweepEditCommand
Edit Feature , FusionSurfaceSweepEditCommand
Loft, SolidLoft
Edit Feature , FusionLoftEditCommand
Loft, TSplineLoft
Rib, FusionRibCommand
Edit Feature , FusionDcRibEditCommand
Web, FusionWebCommand
Edit Feature , FusionDcWebEditCommand
Boundary Fill, SurfaceSculpt
Edit Feature , FusionSculptEditCommand
Loft, SurfaceLoft
Edit Feature , FusionSurfaceLoftEditCommand
Box, PrimitiveBox
Edit Feature , BoxPrimitiveEditCommand
Box, SurfPrimitiveBox
Cylinder, PrimitiveCylinder
Edit Feature , CylinderPrimitiveEditCommand
Cylinder, SurfPrimitiveCylinder
Sphere, PrimitiveSphere
Edit Feature, SpherePrimitiveEditCommand
Edit Feature , CoilPrimitiveEditCommand
Sphere, SurfPrimitiveSphere
Torus, PrimitiveTorus
Edit Feature , TorusPrimitiveEditCommand
Torus, Torus
Torus, SurfPrimitiveTorus
Torus, SurfTorus
Coil, PrimitiveCoil
Coil, Coil
Coil, SurfPrimitiveCoil
Coil, SurfCoil
Connector Obstacle, ConnectorObstacleCmd
Edit Feature, ConnectorObstacleEditCmd
Pipe, PrimitivePipe
Edit Feature , PipePrimitiveEditCommand
Pipe, SurfPrimitivePipe
3D Print, ThreeDprintCmdDef
Automated Modeling, AutomatedModelingCommand
Edit Feature , FusionAutomatedModelingEditCommand
Box, Box
Box, SurfBox
Cylinder, Cylinder
Cylinder, SurfCylinder
Sphere, Sphere
Sphere, SurfSphere
Extrude, SurfaceExtrude
Edit Feature , FusionSurfaceExtrudeEditCommand
Extend, FusionExtendCommand
Edit Feature , FusionDcSurfaceExtendEditCommand
Edit Face, EditFaceCommand
Edit Feature , FusionDcFilletEditCommand
Edit Feature , FusionDcFilletFeatureEditCommand
Edit Feature , FusionDcSurfaceThickenEditCommand
Edit Feature , FusionDcChamferEditCommand
Compute All, FusionComputeAllCommand
Display Configuration Table, FusionShowDesignConfigPanelCmd
Configure, FusionStartDesignConfigModeCmd
Configure, ConfigureFeatureCmd
Configure, ConfigureEntityCmd
Design Configuration, DesignConfigurationCmd
Activate Config, DesignConfigurationActivateRowCmd
Rename Config, DesignConfigurationRenameRowCmd
Delete Config, DesignConfigurationDeleteRowCmd
Copy to New Config, DesignConfigurationCopyRowCmd
Add Configuration, DesignConfigurationAddRowCmd
End Configuration Mode, DesignConfigurationToolbarCmd
ComputeMinimum, FusionComputeMinimumCommand
Associative Insert Update, UpdateXRefCommand
Compute Unresolved, FusionComputeUnresolvedCommand
Assembly Compute, XRefsBUComputeCmd
Change Parameters, ChangeParameterCommand
Reorder Features, FusionReorderCommand
Convert to DM Feature, ConvertToDMFeatureCommand
Convert to Parametric, ConvertToPMFeatureCommand
Capture Design History, ConvertToPMDesignCommand
Do not capture Design History, ConvertToDMDesignCommand
Dump Dependency Graph, FusionDumpGraphCommand
Review warning, FusionLookupErrInfoCommand
Remove, SoftDeleteCommand
Finish Base Feature, BaseFeatureStop
Edit, BaseFeatureActivate
Create Base Feature, BaseFeatureCreationCommand
Finish Form, TSplineBaseFeatureStop
Edit, TSplineBaseFeatureActivate
Create Form, TSplineBaseFeatureCreationCommand
Finish Mesh, MeshBaseFeatureStop
Edit, MeshBaseFeatureActivate
Create Mesh, MeshBaseFeatureCreationCommand
Roll History Marker Here, FusionRollCommand
Find in Timeline, FusionFindInTimeline
Delete all features after History Marker, FusionTrimFeaturesCommand
Expand Group, FusionExpandGroupFeatureCommand
Create Group, FusionCreateGroupFeatureCommand
Collapse Group, FusionCollapseGroupFeatureCommand
Capture Position, SnapshotCmd
Edit, SnapshotActivate
Finish Position, SnapshotEditAccept
Cancel Position, SnapshotEditCancel
Revert Position, AsBuiltPositionsCmd
Edit Feature , FusionOffsetFacesEditCommand
Suppress Features, FusionSuppressCommand
Unsuppress Features, FusionUnsuppressCommand
Insert Fastener, FusionFastenersCommand
Insert Similar Fastener, FastenersInsertSimilar
Edit Fastener, FastenersEditCommand
Replace Fastener, FastenersReplaceCommand
Joint Origin, JointOrigin
Joint, JointAssembleCmdNew
Tangent Relationship, TransitionalRelationshipCmd
Rigid Group, RigidGroupCmd
Edit Rigid Group , EditRigidGroupCmd
Edit Joint , DcEditJointAssembleCmd
Edit Rigid Group , DcEditRigidGroupCmd
Edit Joint , EditJointAssembleCmd
Edit Joint Origin , EditJointOriginCmd
Edit Joint Origin , EditJointOriginR2Cmd
As-Built Joint, JointAsBuiltCmd
Edit Joint , DcEditJointAsBuiltCmd
Edit Motion Limits, EditJointDOFLimitsCmd
Lock Motion, LockJointDOFCmd
Unlock Motion, UnlockJointDOFCmd
Motion Link, FusionMotionRelationshipCommand
Edit, EditMotionRelationshipCmd
Edit Feature, DcEditMotionRelationshipCmd
Edit Tangent Relationship, DcEditTransitionalRelationshipCmd
Edit Tangent Relationship, EditTransitionalRelationshipCmd
Fluid Volume, EnclosureCommand
Edit Feature, DcEnclosureEditCommand
Select By Boundary, SelectByBoundaryCommand
Mirror, MirrorCommand
Circular Pattern, PatternCircular
Edit Circular Pattern, FusionDcCircularPatternEditCommand
Edit Circular Pattern, PatternCircularEdit
Pattern on Path, PatternOnPath
Edit Pattern on Path, FusionDcPathPatternEditCommand
Edit Pattern on Path, PatternOnPathEdit
Rectangular Pattern, PatternRectangular
Edit Rectangular Pattern, FusionDcRectangularPatternEditCommand
Edit Rectangular Pattern, PatternRectangularEdit
Geometric Pattern, FusionPatternGeometricCommand
Edit Complex Pattern, PatternComplexEdit
Edit Feature , FusionDcComplexPatternEditCommand
Edit Feature , FusionDcMirrorPatternEditCommand
Edit Feature , FusionDcDraftEditCommand
Arrange, ArrangeCommand
EDIT QUANTITY, ArrangeInputQuantityValueCommand
Edit Arrange, DcArrangeEditCommand
Edit Arrange, DcAdvandedArrangeEditCommand
Edit Sketch Area, DcArrangeEditSketchCommand
Edit Feature, FusionEditFeatureCommand
Edit Feature, FusionEditDcFeatureCommand
Edit Profile Sketch, FusionEditDcFeatureProfileCommand
Fit Point Spline, DrawSpline
Spline Degree, DrawCVSpline
Control Point Spline, DrawCVMSpline3D
Control Point Spline, DrawCVMSpline5D
Degree 3, DrawCVSpline3D
Degree 5, DrawCVSpline5D
SketchPanel, FusionShowSketchPanelCmd
Center Diameter Circle, CircleCenterRadius
2-Point Circle, CircleTwoPoint
3-Point Circle, CircleThreePoint
2-Tangent Circle, CircleTanTanRadius
3-Tangent Circle, CircleThreeTangent
Ellipse, CircleElipse
Rectangle, DrawRectangle
Circle, DrawCircle
Polygon, DrawPolygon
Arc, DrawArc
Slot, DrawSlot
2-Point Rectangle, ShapeRectangleTwoPoint
3-Point Rectangle, ShapeRectangleThreePoint
Center Rectangle, ShapeRectangleCenter
3-Point Arc, ArcThreePoint
Center Point Arc, ArcCenterTwoPoint
Tangent Arc, ArcTangent
Point, DrawPoint
Edge Polygon, ShapePolygonEdge
Inscribed Polygon, ShapePolygonInscribed
Circumscribed Polygon, ShapePolygonCircumscribed
Conic Curve, ConicCurveCmd
Edit Conic Curve, EditConicCmd
Three Point Arc Slot, ShapeArcSlotThreePoint
Center Point Arc Slot, ShapeArcSlotCenterTwoPoint
Center to Center Slot, ShapeSlotCenterToCenter
Overall Slot, ShapeSlotOverall
Center Point Slot, ShapeSlotCenterPoint
Fillet, FilletSketchCmd
Blend Curve, BlendG2CurveSketchCmd
Blend Curve, BlendG1CurveSketchCmd
Equal Distance Chamfer, ChamferSketchEqualDistance
Two Distance Chamfer, ChamferSketchDistanceDistance
Distance and Angle Chamfer, ChamferSketchDistanceAngle
Chamfer, SketchChamfer
Trim, TrimSketchCmd
Break, BreakSketchCmd
Sketch Scale, SketchScaleCmd
Offset, Offset
Drag offset, FusionOffsetDragCommand
Drag offset dimension, FusionDragOffsetDimCommand
Extend, ExtendSketchCmd
Project To Surface, ProjectToSurface
Include 3D Geometry, Include3DGeometry
Mirror, MirrorSketchCommand
Circular Pattern, CircularSketchPatternCommand
Edit Circular Pattern, SketchPatternCircularEdit
Edit Offset, OffsetSketchEdit
Rectangular Pattern, RectangularSketchPatternCommand
Edit Rectangular Pattern, SketchRectangularPatternEdit
Fit Curves to Mesh Section, FitCurvesToSectionCommand
Intersection Curve, IntersectionCurve
Project, ProjectNewCmd
Intersect, IntersectCmd
Sketch Dimension, SketchDimension
Edit Sketch Dimension, SketchEditDimensionCmdDef
Drag Sketch Dimension, SketchDragDimension
Add Offset Dimension, OffsetDimensionCmd
Constraints, SketchGeomConstraintCmd
Coincident, ConstraintCoincident
Collinear, ConstraintCollinear
Concentric, ConstraintConcentric
MidPoint, ConstraintMidPoint
Fix/UnFix, ConstraintFix
Parallel, ConstraintParallel
Perpendicular, ConstraintPerpendicular
Horizontal/Vertical, ConstraintHorizontalVertical
Tangent, ConstraintTangent
Equal, ConstraintEqual
Symmetry, ConstraintSymmetry
Curvature, ConstraintSmooth
Fix/UnFix, SketchFixConstraintCmd
Move to sketch plane, SketchConstrainOnPlaneCmd
Insert SVG, SketchImportSVG
Save As DXF, SketchExportToDXFCommand
Break Link, SketchUnProjectCmd
Delete Coincident, DeleteCoincidentConstraintCmd
Drag sketch, FusionDragSketchCommand
Insert Spline Fit Point, SplineInsertPoint
Change Spline Degree, ChangeSplineDegree
Insert Spline Control Point, InsertControlPoint
Display Control Frame, InsertControlPolygon
Open/Close Spline Curve, SplineCloseCurve
Show Profile, ShowProfile
Hide Profile, HideProfile
Show Dimension, ShowDimension
Hide Dimension, HideDimension
Show Dimensions, ShowDimensionWhenEditing
Hide Dimensions, HideDimensionWhenEditing
Show Constraints, ShowConstraints
Hide Constraints, HideConstraints
Show Sketch Points, ShowSketchPoints
Hide Sketch Points, HideSketchPoints
Enable fully constrained checking, EnableFullyConstrained
Disable fully constrained checking, DisableFullyConstrained
Toggle Radius, ToggleRadialDimCmd
Toggle Diameter, ToggleDiameterDimCmd
Toggle Driven, ToggleDrivenDimCmd
Toggle Driving, ToggleDrivingDimCmd
Show Projected Geometries, ShowProjectedGeometries
Hide Projected Geometries, HideProjectedGeometries
Show Construction Geometries, ShowConstructionGeometries
Hide Construction Geometries, HideConstructionGeometries
Show Grid, SketchGridOn
Hide Grid, SketchGridOff
Snap On, SketchSnapOn
Snap Off, SketchSnapOff
Slice Sketch, SliceSketchCommand
Unslice Sketch, UnsliceSketchCommand
Show Inactive Tangents, ShowInactive
Text, TextCmd
Text, MTextCmd
Activate Text Snap Point, AddTextGrip
Text on Path, TextOnPathCmd
Edit Text, EditTextCmd
Edit Text, EditMTextCmd
Explode Text, ExplodeTextCmd
Move sketch text, SketchMoveTextCmd
Activate Tangent handle, AddTangentHandle
Activate Curvature handle, AddCurvatureHandle
Deactivate Tangent Handle, DeleteTangentCommand
Deactivate Curvature Handle, DeleteCurvatureCommand
Normal/Construction, SketchConstructionCmd
Construction, SketchToggleConstructionCmd
Normal/Centerline, SketchCenterLineCmd
Centerline, SketchToggleCenterLineCmd
Move, SketchMoveCmd
Redefine Sketch Plane, SketchRedefineCommand
Manage Lost Projections, SketchRelinkProjectionCmd
Press Pull, FusionPressPullCommand
Select By Size, FusionSelectBodiesBySizeCommand
